Game,TotalWinPct,TotalWins,TotalLosses,Rank,DruidWin,DruidLoss,DruidWinPct,HunterWin,HunterLoss,HunterWinPct,MageWin,MageLoss,MageWinPct,PaladinWin,PaladinLoss,PaladinWinPct,PriestWin,PriestLoss,PriestWinPct,RogueWin,RogueLoss,RogueWinPct,ShamanWin,ShamanLoss,ShamanWinPct,WarlockWin,WarlockLoss,WarlockWinPct,WarriorWin,WarriorLoss,WarriorWinPct,DruidMetaPct,HunterMetaPct,MageMetaPct,PaladinMetaPct,PriestMetaPct,RogueMetaPct,ShamanMetaPct,WarlockMetaPct,WarriorMetaPct
1,0,0,1,17,0,0,#DIV/0!,,,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,1,0,0,0,#DIV/0!,0,0,#DIV/0!,0,0,0,0,0,0,1,0,0
2,0,0,2,17.2,,,#DIV/0!,,,#DIV/0!,,1,0,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,0,,,#DIV/0!,,,#DIV/0!,0,0,0.5,0,0,0,0.5,0,0
3,0.333333333,1,2,17.1,,,#DIV/0!,,,#DIV/0!,1,,0.5,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,0,,,#DIV/0!,,,#DIV/0!,0,0,0.666666667,0,0,0,0.333333333,0,0
4,0.5,2,2,17.2,,,#DIV/0!,,,#DIV/0!,,,0.5,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,1,,0.5,,,#DIV/0!,,,#DIV/0!,0,0,0.5,0,0,0,0.5,0,0
5,0.6,3,2,17.3,,,#DIV/0!,,,#DIV/0!,,,0.5,,,#DIV/0!,1,,1,,,#DIV/0!,,,0.5,,,#DIV/0!,,,#DIV/0!,0,0,0.4,0,0.2,0,0.4,0,0
6,0.666666667,4,2,16.2,,,#DIV/0!,,,#DIV/0!,,,0.5,,,#DIV/0!,,,1,,,#DIV/0!,,,0.5,1,,1,,,#DIV/0!,0,0,0.333333333,0,0.166666667,0,0.333333333,0.166666667,0
7,0.714285714,5,2,15.1,,,#DIV/0!,,,#DIV/0!,,,0.5,,,#DIV/0!,,,1,,,#DIV/0!,,,0.5,,,1,1,,1,0,0,0.285714286,0,0.142857143,0,0.285714286,0.142857143,0.142857143
8,0.625,5,3,15.3,,,#DIV/0!,,,#DIV/0!,,,0.5,,,#DIV/0!,,,1,,,#DIV/0!,,1,0.333333333,,,1,,,1,0,0,0.25,0,0.125,0,0.375,0.125,0.125
9,0.666666667,6,3,15.2,,,#DIV/0!,,,#DIV/0!,,,0.5,,,#DIV/0!,,,1,1,,1,,,0.333333333,,,1,,,1,0,0,0.222222222,0,0.111111111,0.111111111,0.333333333,0.111111111,0.111111111
10,0.6,6,4,15.3,,1,0,,,#DIV/0!,,,0.5,,,#DIV/0!,,,1,,,1,,,0.333333333,,,1,,,1,0.1,0,0.2,0,0.1,0.1,0.3,0.1,0.1
11,0.545454546,6,5,15.2,,,0,,,#DIV/0!,,,0.5,,,#DIV/0!,,,1,,,1,,,0.333333333,,,1,,1,0.5,0.090909091,0,0.181818182,0,0.090909091,0.090909091,0.272727273,0.090909091,0.181818182
12,0.5,6,6,15.1,,,0,,,#DIV/0!,,,0.5,,,#DIV/0!,,,1,,,1,,,0.333333333,,,1,,1,0.333333333,0.083333333,0,0.166666667,0,0.083333333,0.083333333,0.25,0.083333333,0.25
13,0.538461539,7,6,15,1,,0.5,,,#DIV/0!,,,0.5,,,#DIV/0!,,,1,,,1,,,0.333333333,,,1,,,0.333333333,0.153846154,0,0.153846154,0,0.076923077,0.076923077,0.230769231,0.076923077,0.230769231
14,0.5,7,7,15.1,,,0.5,,,#DIV/0!,,,0.5,,1,0,,,1,,,1,,,0.333333333,,,1,,,0.333333333,0.142857143,0,0.142857143,0.071428571,0.071428571,0.071428571,0.214285714,0.071428571,0.214285714
15,0.533333333,8,7,15,,,0.5,,,#DIV/0!,1,,0.666666667,,,0,,,1,,,1,,,0.333333333,,,1,,,0.333333333,0.133333333,0,0.2,0.066666667,0.066666667,0.066666667,0.2,0.066666667,0.2
16,0.5625,9,7,15.2,,,0.5,,,#DIV/0!,,,0.666666667,,,0,,,1,,,1,1,,0.5,,,1,,,0.333333333,0.125,0,0.1875,0.0625,0.0625,0.0625,0.25,0.0625,0.1875
17,0.529411765,9,8,15.2,,,0.5,,,#DIV/0!,,,0.666666667,,,0,,,1,,,1,,,0.5,,1,0.5,,,0.333333333,0.117647059,0,0.176470588,0.058823529,0.058823529,0.058823529,0.235294118,0.117647059,0.176470588
18,0.555555556,10,8,15.1,,,0.5,,,#DIV/0!,,,0.666666667,,,0,,,1,,,1,,,0.5,,,0.5,1,,0.5,0.111111111,0,0.166666667,0.055555556,0.055555556,0.055555556,0.222222222,0.111111111,0.222222222
19,0.578947368,11,8,15.2,,,0.5,,,#DIV/0!,,,0.666666667,,,0,,,1,,,1,,,0.5,,,0.5,1,,0.6,0.105263158,0,0.157894737,0.052631579,0.052631579,0.052631579,0.210526316,0.105263158,0.263157895
20,0.6,12,8,15.3,,,0.5,,,#DIV/0!,,,0.666666667,,,0,,,1,,,1,,,0.5,1,,0.666666667,,,0.6,0.1,0,0.15,0.05,0.05,0.05,0.2,0.15,0.25
21,0.571428571,12,9,14.1,,,0.5,,,#DIV/0!,,,0.666666667,,,0,,,1,,,1,,,0.5,,1,0.5,,,0.6,0.095238095,0,0.142857143,0.047619048,0.047619048,0.047619048,0.190476191,0.190476191,0.238095238
22,0.590909091,13,9,14,,,0.5,1,,1,,,0.666666667,,,0,,,1,,,1,,,0.5,,,0.5,,,0.6,0.090909091,0.045454545,0.136363636,0.045454545,0.045454545,0.045454545,0.181818182,0.181818182,0.227272727
23,0.565217391,13,10,14.1,,,0.5,,,1,,,0.666666667,,,0,,,1,,,1,,1,0.4,,,0.5,,,0.6,0.086956522,0.043478261,0.130434783,0.043478261,0.043478261,0.043478261,0.217391304,0.173913044,0.217391304
24,0.583333333,14,10,14,,,0.5,,,1,,,0.666666667,,,0,,,1,,,1,,,0.4,1,,0.6,,,0.6,0.083333333,0.041666667,0.125,0.041666667,0.041666667,0.041666667,0.208333333,0.208333333,0.208333333
25,0.56,14,11,14.1,,,0.5,,,1,,1,0.5,,,0,,,1,,,1,,,0.4,,,0.6,,,0.6,0.08,0.04,0.16,0.04,0.04,0.04,0.2,0.2,0.2
26,0.576923077,15,11,14,,,0.5,,,1,1,,0.6,,,0,,,1,,,1,,,0.4,,,0.6,,,0.6,0.076923077,0.038461538,0.192307692,0.038461538,0.038461538,0.038461538,0.192307692,0.192307692,0.192307692
27,0.555555556,15,12,14.1,,,0.5,,,1,,1,0.5,,,0,,,1,,,1,,,0.4,,,0.6,,,0.6,0.074074074,0.037037037,0.222222222,0.037037037,0.037037037,0.037037037,0.185185185,0.185185185,0.185185185
28,0.571428571,16,12,14,,,0.5,,,1,1,,0.571428571,,,0,,,1,,,1,,,0.4,,,0.6,,,0.6,0.071428571,0.035714286,0.25,0.035714286,0.035714286,0.035714286,0.178571429,0.178571429,0.178571429
29,0.586206897,17,12,14.1,,,0.5,,,1,,,0.571428571,,,0,,,1,,,1,,,0.4,1,,0.666666667,,,0.6,0.068965517,0.034482759,0.24137931,0.034482759,0.034482759,0.034482759,0.172413793,0.206896552,0.172413793
30,0.6,18,12,14.3,,,0.5,,,1,,,0.571428571,,,0,,,1,,,1,1,,0.5,,,0.666666667,,,0.6,0.066666667,0.033333333,0.233333333,0.033333333,0.033333333,0.033333333,0.2,0.2,0.166666667
